,source,target,value
13,NYSEARCA,the ARK Innovation ETF,3
14,ARKK,NYSEARCA,3
15,ARKK,the ARK Autonomous Technology & Robotics,3
16,ARKQ,the ARK Autonomous Technology & Robotics,3
17,ARKQ,the ARK Next Generation Internet,3
18,NYSEARCA,the ARK Next Generation Internet,3
19,ARKW,NYSEARCA,3
20,ARKW,Zoom,2
21,ZM,Zoom,3
22,Exact Sciences,ZM,3
23,EXAS,Exact Sciences,3
24,EXAS,Tesla,1
25,RBC,Tesla,2
26,Goldman Sachs,RBC,3
27,Citigroup,Goldman Sachs,2
28,Citigroup,Tesla,2
29,Cathie Wood,Tesla,2
30,Cathie Wood,Musk,1
31,EV,Musk,3
32,EV,Twitter,2
33,Longtime Tesla,Twitter,1
34,Dan Ives,Longtime Tesla,3
35,Dan Ives,Wedbush,3
36,Tesla,Wedbush,2
37,ATM,Tesla,3
38,ATM,Twitter,3
39,Cathie Wood,Twitter,1
40,Cathie Wood,Samuel O’Brient,2
41,Samuel O’Brient,the InvestorPlace.com Publishing Guidelines,4
42,EV,Samuel O’Brient,2
43,EV,TipRanks,2
44,Consumer Discretionary,TipRanks,2
45,Automotive,Consumer Discretionary,3
46,Automotive,InvestorPlace Media,3
47,FinancialContent Services,InvestorPlace Media,3
48,FinancialContent Services,Nasdaq,1
49,Baltimore,MD,3
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers South Korea Asks,3
12,Extending Incentive Offers South Korea Asks,US,3
13,David Beckham,US,2
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,New York City,Twitter Inc.,2
22,Tesla Inc.,Twitter Inc.,3
23,China,Tesla Inc.,2
24,China,Shanghai,3
25,Shanghai,Texas,2
26,Tesla,Texas,2
27,Musk,Tesla,2
28,Musk,Twitter,2
0,Elon Musk,Top Forex Brokers,2
1,Cookies,Top Forex Brokers,3
0,EV,Tesla,5
1,Coin Price Forecast,Tesla,5
2,MA,TSLA,2
3,Tesla,the Coin Price Forecast,3
4,China,Tesla,5
5,EV,Interactive Brokers,2
6,Disclaimer,Interactive Brokers,3
0,Automotive - Domestic,Zacks Equity Research for Zacks,1
1,Automotive - Domestic,Harley-Davidson,1
2,HOG,Harley-Davidson,1
3,HOG,Tesla,1
4,Value,Zacks Rank,5
5,Harley-Davidson,Zacks Rank,5
6,Tesla,Zacks Rank,6
7,HOG,Zacks Rank,2
8,HOG,TSLA,11
9,HOG,Value,5
10,HOG,PEG,3
11,TSLA,Value,6
12,C. HOG,Value,3
13,C. HOG,Zacks Rank,3
14,Style Scores,Zacks Rank,3
15,HOG,Style Scores,3
16,HOG,"Zacks Names """,2
17,Boston Beer Company,Zacks’ Stocks Set,3
18,Boston Beer Company,NVIDIA,3
19,NVIDIA,Zacks Investment Research,2
20,"HarleyDavidson, Inc.",Zacks Investment Research,1
21,HOG,"HarleyDavidson, Inc.",3
22,HOG,Zacks.com,1
23,Zacks Investment Research,Zacks.com,2
24,"Nasdaq, Inc.",Zacks Investment Research,2
25,"Nasdaq,","Nasdaq, Inc.",2
0,MarketBeat,"Tesla, Inc.",1
1,EPS,Tesla,2
2,EPS,"Tesla, Inc.",5
3,Means Investment CO. Inc.,TSLA.,2
4,Means Investment CO. Inc.,Tesla,5
5,Alaethes Wealth,Means Investment CO. Inc.,2
6,Alaethes Wealth,Tesla,5
7,Alaethes Wealth,JB Capital,2
8,JB Capital,Tesla,5
9,Centerpoint Advisors,JB Capital,2
10,Centerpoint Advisors,Tesla,5
11,Centerpoint Advisors,D Orazio & Associates Inc.,2
12,D Orazio & Associates Inc.,Tesla,3
13,Orazio & Associates Inc.,Tesla,2
14,Needham & Company,Tesla,3
15,Roth Capital,Tesla,5
16,Global Equities Research,Tesla,5
17,Bank of America,Tesla,5
18,China,the United States,3
19,Automotive,China,2
20,Automotive,"Featured Articles
Get",2
21,"Featured Articles
Get",Tesla,3
22,"Remain CALM Income Investors
Tesla Stock",Tesla,3
23,MarketBeat,"Remain CALM Income Investors
Tesla Stock",3
24,MarketBeat,Tesla,6
25,Tesla,View The Five Stocks,2
26,Roth,View The Five Stocks,2
27,Get This Free Report,Roth,1
28,Get This Free Report,MarketBeat,2
29,Roth,Tesla,2
30,Laycee,Roth,1
31,Chris,Laycee,3
32,Chris,MarketBeat,3
33,MarketBeat,SEC,3
34,MarketBeat,Sioux Falls,1
35,American Consumer News,Sioux Falls,3
36,American Consumer News,Barchart Solutions,1
37,Barchart,Barchart Solutions,1
0,Bloomberg,Clay Webster,1
1,Bloomberg,Shanghai,1
2,Chinese,Shanghai,1
3,Chinese,US,1
4,Dow,US,2
5,Dow,NASDAQ,3
6,NASDAQ,Shanghai,2
7,Shanghai,Tesla,3
8,Berlin,Tesla,2
9,Austin,Berlin,3
10,Austin,Texas,3
11,Shanghai,Texas,2
12,China,Shanghai,4
13,China,Tesla,2
14,Bloomberg,Tesla,1
15,Bloomberg,Model Ys,2
16,Model Ys,Tesla,2
17,Chinese,Tesla,3
18,Chinese,Model Ys,3
19,Model Ys,Shanghai,1
20,Shanghai,Tesla Shanghai,1
21,China,Tesla Shanghai,2
22,Shanghai,the European Union's Trade & Technology Council,2
23,US,the European Union's Trade & Technology Council,3
24,US,the World Trade Organization,3
25,EU,the World Trade Organization,2
26,EU,IRA,3
27,IRA,US,3
28,EU,US,2
29,EU,EV,3
30,EV,the European Commission,2
31,Ursula von der,the European Commission,3
32,Leyen,Ursula von der,3
33,Leyen,US,1
34,AUD/USD,FXStreet,2
35,AUD/USD,Asian,3
36,Asian,Aussie,2
37,Aussie,USD,2
38,JPY,USD,3
39,JPY,Japan,3
40,Japan,Yen,2
41,Yen,the Bank of Japan,3
42,BOJ,the Bank of Japan,3
43,BOJ,XAU/USD,2
44,Shiba Inu,XAU/USD,1
45,Dogecoin,Shiba Inu,3
46,Dogecoin,Ethereum,3
47,Ethereum,SHIB,2
0,Tesla Inc,USD,1
1,TSLA,USD,1
2,TSLA,Twitter,2
3,KoGuan,Leo KoGuan,2
4,KoGuan,Tim Cook-like,2
5,Elon,Tim Cook-like,3
6,Cook,Elon,2
0,Tesla,the Tesla Owners of Silicon Valley,2
1,Musk,the Tesla Owners of Silicon Valley,2
2,Musk,Tesla,9
3,EV,Tesla,3
4,EV,Musk,1
5,Musk,Wedbush’s Dan Ives,2
6,Tesla,Wedbush’s Dan Ives,3
7,Tesla,Twitter,3
8,Porsche,Tesla China,2
9,Shanghai,Tesla China,3
10,Q4,Shanghai,2
0,BNK Invest,Tesla,1
1,Boeing,Tesla,2
2,Boeing,Occidental Petroleum,2
3,Occidental Petroleum,Warner Bros Discovery,3
4,VIDEO,Warner Bros Discovery,2
5,Movers,VIDEO,2
6,Movers,TSLA,3
7,"Nasdaq, Inc.",TSLA,3
8,"Nasdaq,","Nasdaq, Inc.",2
0,BMW,Covid,2
1,BMW,OTCPK,3
2,OTCPK,Toyota,3
3,TM,Toyota,3
4,ICE,YCharts,2
5,EV,YCharts,2
6,EV,Tesla,2
7,Bentley,Tesla,2
8,Tesla,YCharts,2
9,Los Angeles,Tesla,3
10,Long Beach,Los Angeles,2
11,China,Shanghai,2
12,Covid,Shanghai,1
13,Dan Ives,Wedbush,3
14,450k,Wedbush,2
15,450k,Tesla,1
16,Tesla,U.S.,1
0,Dividend Kings,"Tesla, Inc.",2
1,Dividend Kings,Tesla,3
2,Tesla,Ycharts Ycharts,4
3,FactSet FAST Graphs,Tesla,3
4,FactSet,FactSet FAST Graphs,9
5,FactSet,Tesla,5
6,Musk,Tesla,4
7,Musk,Twitter,3
8,Tesla,Twitter,4
9,Bloomberg) Even,FactSet,3
10,Bloomberg) Even,Tesla,2
11,AMZN,Amazon,3
12,AMZN,S&P,3
13,Amazon,S&P,5
14,S&P,YCharts YCharts Netflix,2
15,NFLX,YCharts YCharts Netflix,3
16,Daily Shot Daily Shot,Tesla,1
17,CBS News,The Social Security Administration,3
18,Tesla,The Social Security Administration,1
19,DK Research Terminal,Tesla,4
20,DK Research Terminal,FactSet,6
21,FactSet,S&P,1
22,S&P,Tesla,4
23,Nasdaq,S&P,2
24,Altria + Amazon,Tesla,1
25,Altria + Amazon,Altria Group,2
26,Altria Group,Amazon,3
27,AMZN,MO,3
28,AMZN,Tesla,2
29,China,Tesla,5
30,FactSet Research Terminal FactSet Research Terminal,Tesla,8
31,BBB,S&P,3
32,BBB,FactSet Research Terminal FactSet Research Terminal,2
33,FactSet Research Terminal FactSet Research Terminal,TSLA,2
34,Morningstar,TSLA,2
35,FactSet Research Terminal FactSet Research Terminal,Morningstar,2
36,TM,Toyota,3
37,Subaru,Tesla,3
38,FactSet Research Terminal FactSet Research Terminal Tesla,Tesla,8
39,EV,Tesla,3
40,Ford,Tesla,3
41,Ford,GM,3
42,GM,Toyota,1
43,Tesla,Toyota,5
44,American,Tesla,5
45,Mercedes,Tesla,3
46,BMC,Mercedes,3
47,BMC,Volvo,3
48,Lincoln,Volvo,3
49,Lincoln,Toyota,3
50,Lexus,Tesla,5
51,FactSet FAST Graphs,Graphs,15
52,FactSet FAST Graphs,FactSet Tesla's,6
53,FactSet FAST Graphs,FactSet Toyota,3
54,FactSet Toyota,Toyota,2
55,Graphs,Toyota,2
56,FactSet Tesla's,Ferrari,3
57,Ferrari,Tesla,1
58,Graphs,Tesla,2
59,FactSet,Graphs,1
60,FactSet,TSLA,1
61,DK,S&P,3
62,DK Research Terminal,S&P,2
63,DK Research Terminal,TSLA,2
64,Buffett,Tesla,2
65,Automated Investment Decision Tool,U.S.,1
66,Automated Investment Decision Tool,Zen Research Terminal,3
67,Correction Planning Tool,Zen Research Terminal,3
68,Correction Planning Tool,Daily Blue-Chip Deal Videos,3
69,Adam Galas,Daily Blue-Chip Deal Videos,1
70,Adam Galas,Wide Moat Research,3
71,WMR,Wide Moat Research,3
72,C-Corps,WMR,5
73,The Intelligent Dividend Investor,WMR,3
74,Army,The Intelligent Dividend Investor,2
75,Army,Dividend Kings,3
76,Dividend Kings,The Intelligent Dividend Investor,3
77,Simply Safe Dividends,The Intelligent Dividend Investor,3
78,Simply Safe Dividends,the Adam Mesh Trading Group,3
79,Brad Thomas,the Adam Mesh Trading Group,2
80,Brad Thomas,Chuck Carnevale,3
0,Electrek Podcast,Tesla,1
1,Tesla,YouTube,2
2,Patreon,YouTube,3
3,FTC,Patreon,1
4,Electrek,YouTube,3
5,Fred Lambert,YouTube,2
6,Fred Lambert,Seth,3
7,Seth,Twitter,2
8,Twitter,Zalkon.com,3
9,Fred,Zalkon.com,3
10,Fred,Fred Lambert ChargePoint,2
0,EV,Tesla Inc,1
1,Elon Musk's Twitter,Tesla Inc,1
2,Elon Musk's Twitter,TWTR,1
3,TWTR,Tesla,1
4,Schaeffer,Tesla,1
5,Rocky White,Schaeffer,3
6,TSLA,the International Securities Exchange,3
7,Chicago Board Options Exchange,the International Securities Exchange,3
8,CBOE,Chicago Board Options Exchange,3
9,CBOE,NASDAQ OMX PHLX,3
10,Minimize Risk While,NASDAQ OMX PHLX,2
11,Minimize Risk While,Schaeffer,1
0,Outperform Analyst,Tesla,1
1,Outperform Analyst,Wedbush Wedbush,2
2,Elon Musk,Wedbush Wedbush,2
3,ATM,Elon Musk,2
4,ATM,Twitter,2
5,Twitter,Wedbush,4
6,Tesla,Wedbush,3
7,Tesla,Twitter,3
8,Wedbush,the Board of Tesla,3
9,Musk,the Board of Tesla,2
10,Musk,Tesla,2
0,BNK Invest,ETF Channel,1
1,ETF Channel,Invesco,2
2,Invesco,QQQ,2
3,QQQ,Tesla Inc,3
4,Meta Platforms Inc,Tesla Inc,3
5,META,Meta Platforms Inc,3
6,META,PepsiCo Inc,3
7,PepsiCo Inc,QQQ Holdings,2
8,QQQ,QQQ Holdings,3
9,ETF,"Nasdaq, Inc.",2
10,"Nasdaq,","Nasdaq, Inc.",2
0,FREE Breaking News Alerts,StreetInsider.com,1
0,Chris Winton,FedEx,1
1,FedEx,Tesla’s,1
2,HR,Tesla’s,2
3,HR,Valerie Capers Workman,2
4,Valerie Capers Workman,Workman,2
5,Tesla,Workman,2
6,Chris Winton,Tesla,3
7,Chris Winton,Winton,2
8,FedEx,Winton,3
9,FedEx,LinkedIn,2
10,LinkedIn,Tesla,3
11,Tesla,Zack Kirkhorn,2
12,Winton,Zack Kirkhorn,2
13,Memphis,Winton,3
14,FedEx,Memphis,3
15,FedEx,Tesla,7
16,Austin,Tesla,3
17,Austin,Texas,3
18,Texas,the Memphis Business Journal,2
19,Tesla,the Memphis Business Journal,3
20,Champignon,Tesla,2
21,Tesla,Winton,2
22,Elon Musk,Winton,3
23,Elon Musk,Twitter,3
24,FTC,Twitter,2
25,Electrek,YouTube,3
26,Twitter,Zalkon.com,3
27,Fred,Zalkon.com,3
28,Fred,Fred Lambert ChargePoint,2
0,Tesla,the United States,21
1,US,the United States,3
2,Tesla,US,2
3,Electrek,Tesla,8
4,Loyalty Program,Tesla,2
5,Electrek,US,3
6,Tesla,UK,5
7,Tesla,Teslas,2
8,Tesla,VW,5
9,FTC,the United States,2
10,Electrek,YouTube,3
11,Twitter,Zalkon.com,3
12,Fred,Zalkon.com,3
13,Fred,Fred Lambert ChargePoint,2
0,China,Tesla,25
1,Shanghai,Tesla,6
2,China,Shanghai,4
3,Shanghai,The China Passenger Car Association,2
4,Tesla,The China Passenger Car Association,3
5,China,Tesla Gigafactory,2
6,Shanghai,Tesla Gigafactory,3
7,Bloomberg,China,2
8,Bloomberg,Reuters,1
9,Bloomberg‘s,Reuters,3
10,Bloomberg‘s,Shanghai,2
11,China,Tesla’s,2
12,Chinese,Tesla’s,3
13,Chinese,Shanghai,2
14,China,Chinese,3
15,Austrailia,Chinese,2
16,Austrailia,China,1
17,Electrek,YouTube,3
18,Twitter,Zalkon.com,3
19,Fred,Zalkon.com,3
20,Fred,Fred Lambert ChargePoint,2
0,Elon Musk,Kambouris Tesla,1
1,Elon Musk,Tesla,5
2,Musk,Tesla,58
3,Musk,"Twitter, Inc.",3
4,TWTR,"Twitter, Inc.",3
5,TWTR,Tesla,3
6,Musk,Twitter,53
7,Tesla,Twitter,25
8,Morning Consult,Tesla,5
9,Tesla,YouGov,8
10,Tesla,U.S.,5
11,Tesla,Wall Street Journal,2
12,Wall Street Journal,YouGov Wall Street Journal,3
13,YouGov Even Tesla's,YouGov Wall Street Journal,3
14,Wedbush,YouGov Even Tesla's,2
15,Dan Ives,Wedbush,3
16,Dan Ives,Musk,3
17,EV,Twitter,3
18,EV,Tesla,3
19,Tesla,Wedbush,3
20,Musk,Wedbush,2
21,Morgan Stanley Research,Tesla,7
22,Morgan Stanley Research,Musk,3
23,Delaware,Musk,3
24,Delaware,Tesla,2
25,Alpha,Twitter,4
26,Elon Musk,Musk,2
27,Jason Aten,Tesla,3
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers South Korea Asks,3
12,Extending Incentive Offers South Korea Asks,US,3
13,David Beckham,US,2
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,New York City,Tesla Inc.,3
22,Shanghai,Tesla Inc.,3
23,Chinese,Shanghai,2
24,Chinese,Model,2
0,APP,Scan,1
1,APP,Jenny McCall,1
2,Jenny McCall,NASDAQ,1
3,AJ Bell,NASDAQ,3
4,AJ Bell,Russ Mould,3
5,Russ Mould,Twitter,2
6,Twitter,the New York Stock Exchange,3
7,Russian,the New York Stock Exchange,2
8,Russian,Ukraine,3
9,UK,Ukraine,1
10,Mould,UK,2
11,FAANGM,Mould,1
12,FAANGM,MAANAM,3
13,MAANAM,Meta Platforms,3
14,META,Meta Platforms,3
15,Amazon,META,6
16,Amazon,Apple,3
17,Apple,Netflix,3
18,NFLX,Netflix,6
19,Alphabet,NFLX,6
20,Alphabet,Microsoft,3
21,Meta’s,Microsoft,2
22,META,Meta’s,3
23,AMZN,META,3
24,AAPL,AMZN,3
25,AAPL,META,2
26,AMZN,Amazon,3
27,AMZN,Apple (AAPL,3
28,Apple (AAPL,Netflix,3
29,Alphabet,GOOG,3
30,GOOG,Microsoft,3
31,Microsoft,SPAC,2
32,Mould,SPAC,3
33,MAANAM,Mould,3
34,Activision Blizzard,Mould,1
35,Activision Blizzard,Broadcom’s,3
36,Broadcom’s,VMware,3
37,VMW,VMware,3
38,GlaxoSmithKline,Haleon,3
39,HLN,Haleon,3
40,HLN,the London Stock Exchange,5
41,HLN,Pharma,2
42,GSK,Pharma,3
43,GSK,Haleon,3
44,Haleon,Sanofi,3
45,Sanofi,Zantac,2
46,NDMA,Zantac,3
47,NDMA,Volkswagen’s,2
48,Porsche,Volkswagen’s,3
49,IPO,Porsche,3
50,IPO,VW,3
51,German,VW,2
52,German,IPO,3
53,GLEN,IPO,6
54,EMEA,Porsche,3
55,Russia,Ukraine,3
56,McDonalds,Ukraine,3
57,McDonalds,Royal Dutch Shell,3
58,Royal Dutch Shell,Russian,3
59,Moscow,Russian,2
60,European,Moscow,1
61,European,Mould,1
62,ONS,Office of National Statistics,3
63,ONS,USA,2
64,Australia,USA,3
65,Australia,Canada,3
66,Canada,EU,3
67,EU,Mould,3
68,Mould,Twitter,1
69,TWTR,Twitter,3
70,TWTR,the New York Stock Exchange,2
71,NYSE,the New York Stock Exchange,3
72,NYSE,TWTR,3
73,Parag Agrawal,TWTR,1
74,Parag Agrawal,Vijaya Gadde,3
75,US,Vijaya Gadde,3
76,Donald Trump,US,3
77,Donald Trump,TWTR,3
78,TWTR,Trump’s,3
79,TSLA,Trump’s,2
80,Capital Com SV Investments Limited,Cyprus Securities and Exchange Commission,5
81,Capital Com SV Investments Limited,Registration Number,3
82,Lophitis Business Center II,Registration Number,3
0,China,the Federal Reserve,3
1,China,Fed,3
2,Fed,USA,3
3,Musk,USA,3
4,Musk,Tesla,18
5,Musk,Wedbush,3
6,Dan Ives,Wedbush,3
7,Dan Ives,Twitter,3
8,China,Twitter,5
9,Tesla,Twitter,10
10,Musk,Twitter,3
11,Ihor Dusaniwsky,Tesla,2
12,Ihor Dusaniwsky,Predictive Analytics,3
13,Predictive Analytics,Tesla,2
14,Chinese,Tesla,5
15,Nasdaq,Tesla,1
16,Investopedia,Nasdaq,3
17,Investopedia,Twitter,1
18,Bill Gates,Tesla,2
19,Bill Gates,Microsoft,3
20,Microsoft,Tesla,3
21,Gates,Tesla,3
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers South Korea Asks,3
12,Extending Incentive Offers South Korea Asks,US,3
13,David Beckham,US,2
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,New York City,Tesla Inc.,3
22,China,Tesla Inc.,3
23,China,Shanghai,3
24,Austin,Shanghai,3
25,Austin,Texas,3
26,Texas,Tom Zhu,2
27,Tesla,Tom Zhu,2
28,Austin,Tesla,2
29,Austin,China,2
30,China,Giga Texas,2
31,Giga Texas,US,2
32,Cybertruck,US,2
0,AMC,AMC Entertainment Holdings,3
1,AMC,"Amazon.com, Inc.",3
2,AMZN,"Amazon.com, Inc.",3
3,+0.21,AMZN,3
4,+0.21,"Uber Technologies, Inc.",2
5,+0.04,"Uber Technologies, Inc.",3
6,+0.04,Zacks,2
7,UBER,Zacks,3
8,BioCryst Pharmaceuticals,UBER,2
9,BCRX,BioCryst Pharmaceuticals,3
10,BCRX,PACCAR Inc.,2
11,PACCAR Inc.,PCAR,3
12,Haleon plc,PCAR,2
13,Haleon plc,Kroger Company,2
14,EPS,Kroger Company,1
15,EPS,KR,2
16,KR,Oracle Corporation,2
17,ORCL,Oracle Corporation,3
18,ORCL,XPeng Inc.,2
19,"Nasdaq, Inc.",XPeng Inc.,1
20,"Nasdaq,","Nasdaq, Inc.",2
0,MikeMareen,"Tesla, Inc.",1
1,PepsiCo,"Tesla, Inc.",1
2,PepsiCo,Tesla,5
3,Semi,Tesla,9
4,EV,Semi,2
5,EV,Elon Musk,2
6,Elon Musk,U.S.,2
7,Tesla,U.S.,2
8,LTM,Tesla,4
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers South Korea Asks,3
12,Extending Incentive Offers South Korea Asks,US,3
13,David Beckham,US,2
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,Austin,New York City,3
22,Austin,Texas,3
23,Bloomberg News,Texas,1
24,Bloomberg News,Elon Musk,2
25,China,Elon Musk,2
26,Austin,China,2
0,Tesla,Tesla Fantastic News,1
1,Tesla,Twitter,2
2,SpaceX,Twitter,2
3,SpaceX,Starlink,2
4,Starlink,Tesla,2
5,Alex Avoigt,Tesla,4
6,Alex,Tesla,5
7,Elon Musk,Tesla,4
8,Elon,Tesla,11
9,Say Elon,Tesla,3
10,Armen Hareyan,Tesla,2
